Chinese,English 
可以通过去掉下面的注释来测试,Can be tested by uncommenting the following
原图地址,Original picture address
值就会用这个值,value will use this value
时间的,Time
的不同写法,different ways of writing
基础变量配置项,Basic variable configuration item
瑞丽市,Ruili City
搜索框外层,search box wrapper
哪个用来展示文件名,which is used to display the filename
里的上一个下一个,previous next
如果是对象数组,If it is an array of objects
自定义预设色盘,Custom preset color wheel
但是如果,but if
聚焦,focus
一直在提升细节交互体验,Has been improving the detailed interactive experience
这样后面动作都可以通过事件上下文来获取共享的数据,"In this way, subsequent actions can obtain shared data through the event context"
描述占位内容,Describe placeholder content
而且会实时处理,and it will be processed in real time
可在日志顶部添加以下操作按钮,The following action buttons can be added at the top of the log
从化区,Conghua District
值分别为空字符,Values are respectively null characters
所在标签的自定义,Where tab customization
然后将前面的,and then replace the preceding
上一级选项的值,The value of the previous option
颠倒,reverse
旺苍县,Wangcang County
自定义展示态的展示方式,Customize the display mode of the display state
即使其他表单项值没有隐藏,Even if other form item values are not hidden
支持变量取值和表达式,Support variable values and expressions
的值类似,Values like
并且自动追加,and automatically append
配置格式如下,The configuration format is as follows
中带,middle belt
鼠标移出行记录,Mouse out row record
会请求该,will request the
永福县,Yongfu County
操作成功后提示,Prompt after successful operation
或者配置了,or configured
中的格式说明,Format specification in
为空,Is empty
设置数据容器或表单项的数据,Set the data of a data container or form item
中可能有函数的配置项有如下,The configuration items that may have functions in are as follows
另外就是这里有很多指令还不支持,"In addition, there are many instructions here that are not yet supported."
